US-ID,Domain,Epic,Story Title,Story,Acceptance Criteria - AC,Quality Constraint (NFR),Priority,Owner,Status (Use Case),Status (UI),Status (Code)
US-001,Auth,Authentication,User Registration,"As a Guest, I want to create an account so I can access platform features.","AC1: Validate email/phone uniqueness.
AC2: Password must be hashed.
AC3: Default role assignment based on registration type (Customer/Owner).",Password must be at least 8 characters.,P1,Product Owner,DONE,DONE,DONE
US-002,Auth,Authentication,JWT Login,"As a User, I want to log in securely using credentials to receive a JWT token.","AC1: Verify credentials against DB.
AC2: Issue Access and Refresh tokens.
AC3: Return user profile summary.",Token expiration < 2 hours.,P1,Product Owner,DONE,DONE,DONE
US-003,Property,Management,Create Property Listing,"As an Owner, I want to list my property with details and images.","AC1: Validate required fields (title, price, area).
AC2: Upload images to Cloudinary.
AC3: Set initial status to PENDING_APPROVAL.",Image size < 5MB.,P1,Nhat Minh Ha,DONE,DONE,DONE
US-004,Property,Discovery,Search & Filter Properties,"As a Customer, I want to search for properties by location, price, and type.","AC1: Full-text search on titles/descriptions.
AC2: Range filters for price and area.
AC3: Sort by newest/cheapest.",Response time < 500ms.,P1,Nhat Minh Ha,DONE,DONE,DONE
US-005,Property,Discovery,Property Details View,"As a User, I want to see full details and media of a specific property.","AC1: Fetch details from PostgreSQL.
AC2: Display interactive map location.
AC3: Show contact info of the owner.",Highly available (99.9%).,P1,Nhat Minh Ha,DONE,DONE,DONE
US-006,Appointment,Workflow,Request Appointment,"As a Customer, I want to book a viewing session for a property.","AC1: Select available date/time slots.
AC2: Prevent double booking.
AC3: Status set to PENDING.",Transactional consistency.,P2,Product Owner,DONE,DONE,DONE
US-007,Appointment,Workflow,Confirm/Reject Appointment,"As an Owner/Agent, I want to manage viewing requests.","AC1: Update status to CONFIRMED or CANCELLED.
AC2: Trigger notification to Customer.",Notification latency < 5s.,P2,Product Owner,DONE,DONE,DONE
US-008,Contract,Leasing,Draft Rental Contract,"As an Agent, I want to generate a rental contract draft from a template.","AC1: Auto-fill property and party details.
AC2: Define lease duration and monthly rent.
AC3: Upload PDF to Cloudinary.",Secure document storage.,P1,Thien An Nguyen,DONE,DONE,DONE
US-009,Contract,Sales,Deposit Contract Execution,"As a Customer, I want to sign a deposit contract to reserve a property.","AC1: Transition status to WAITING_OFFICIAL.
AC2: Lock property status to prevents other appointments.",ACID compliance.,P1,Thien An Nguyen,DONE,DONE,DONE
US-010,Payment,Integration,Initialize Payment,"As a User, I want to pay for contracts or services using PayOS/Payway.","AC1: Generate payment link from provider.
AC2: Record transaction as PENDING.
AC3: Redirect user to gateway.",PCI-DSS compliance (via provider).,P1,Thien An Nguyen,DONE,DONE,DONE
