LIST OF FUNCTIONS,,,,,,,,,,,,,,,,,,,
Project Name:,,BatDongSan Platform,,,,,,,,,,,,,,,,,
Performed by:,,Gemini CLI,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
No.,Main Function,Sub Function,Deployment Environment,,LIST OF METRICS,,,,,,,,,,,,,,
,,,Web,Mobile,C1,W1,C2,W2,C3,W3,C4,W4,C5,W5,,,,,
1,Authentication,Sign Up,X,X,1,4,1,5,0,4,1,10,0,7,19,,,,
2,Authentication,Sign In,X,X,1,4,1,5,0,4,0,10,0,7,9,,,,
3,Authentication,Update Profile,X,X,1,4,1,5,0,4,1,10,0,7,19,,,,
4,Authentication,Token Refresh,X,,1,4,1,5,0,4,0,10,0,7,9,,,,
5,Property Management,Create Property Listing,X,X,1,4,1,5,0,4,1,10,0,7,19,,,,
6,Property Management,Search Properties,X,X,0,4,0,5,1,4,0,10,0,7,4,,,,
7,Property Management,View Property Details,X,X,0,4,0,5,1,4,0,10,0,7,4,,,,
8,Property Management,Promote Property,X,X,1,4,1,5,0,4,1,10,0,7,19,,,,
9,Property Management,Archive Property,X,X,1,4,1,5,0,4,1,10,0,7,19,,,,
10,Property Management,Assign Agent to Property,X,,1,4,1,5,0,4,1,10,0,7,19,,,,
11,Property Management,AI Property Valuation,X,X,1,4,1,5,0,4,1,10,1,7,26,,,,
12,Property Management,Augmented Reality Virtual Tour,X,X,0,4,1,5,0,4,0,10,1,7,12,,,,
13,Property Management,Map-based Search,X,X,0,4,0,5,1,4,0,10,1,7,11,,,,
14,Property Management,Update Property,X,X,1,4,1,5,0,4,1,10,0,7,19,,,,
15,Property Management,Manage Property Types,X,,1,4,1,5,0,4,1,10,0,7,19,,,,
16,Appointment Management,Book Appointment,X,X,1,4,1,5,0,4,1,10,0,7,19,,,,
17,Appointment Management,Manage Appointment,X,X,1,4,1,5,0,4,1,10,0,7,19,,,,
18,Appointment Management,Agent Review,X,X,1,4,1,5,0,4,1,10,0,7,19,,,,
19,Contract Management,Create Rental Contract Draft,X,,1,4,1,5,0,4,1,10,0,7,19,,,,
20,Contract Management,Sign Deposit Contract,X,X,1,4,1,5,0,4,1,10,0,7,19,,,,
21,Contract Management,Escrow Protection,X,,1,4,1,5,0,4,1,10,0,7,19,,,,
22,Contract Management,View Activity Details,X,X,0,4,0,5,1,4,0,10,0,7,4,,,,
23,Payment Management,Initialize Payment,X,X,1,4,1,5,0,4,1,10,1,7,26,,,,
24,Payment Management,Handle Payment Webhook,X,,1,4,1,5,0,4,1,10,1,7,26,,,,
25,Payment Management,Subscribe to Plan,X,X,1,4,1,5,0,4,1,10,1,7,26,,,,
26,System Notifications,Send Push Notification,X,X,0,4,1,5,0,4,1,10,1,7,22,,,,
27,System Notifications,Send Email Alert,X,X,0,4,1,5,0,4,1,10,1,7,22,,,,
28,User Engagement & History,Report Violation,X,X,1,4,1,5,0,4,1,10,0,7,19,,,,
29,User Engagement & History,Review Violations,X,,1,4,1,5,0,4,1,10,0,7,19,,,,
30,User Engagement & History,Wishlist Property,X,X,1,4,1,5,0,4,1,10,0,7,19,,,,
31,User Engagement & History,Real-time Agent Chat,X,X,1,4,1,5,0,4,1,10,0,7,19,,,,
32,User Engagement & History,Referral Program,X,X,1,4,1,5,0,4,1,10,0,7,19,,,,
33,User Engagement & History,View Owner Insights,X,X,0,4,1,5,1,4,0,10,0,7,9,,,,
34,User Engagement & History,Manage User Account,X,,1,4,1,5,0,4,1,10,0,7,19,,,,
35,User Engagement & History,View User Activity History,X,X,0,4,0,5,1,4,0,10,0,7,4,,,,
36,Utilities & Admin,Fetch Location Data,X,X,0,4,0,5,1,4,0,10,0,7,4,,,,
37,Utilities & Admin,Generate Sales Report,X,,0,4,1,5,1,4,0,10,0,7,9,,,,
38,Utilities & Admin,Scan Document with OCR,X,X,1,4,1,5,0,4,0,10,1,7,16,,,,
39,Utilities & Admin,Change Language,X,X,1,4,1,5,0,4,0,10,0,7,9,,,,
40,Utilities & Admin,View Audit Logs,X,,0,4,0,5,1,4,1,10,0,7,14,,,,
,Total,,,,,,112,,165,,36,,270,,63,646,,,,
,,,,,,,,,,,,,,,,,,,
,Calculate Value Adjustment Factor (VAF),0.65 + 0.01×48 = 1.13,,,,,,,,,,,,,,,,,
,Number of FPs,730.0,,,,,,,,,,,,,,,,,
,,[Empty line to match template math step],,,,,,,,,,,,,,,,,
,,[Empty line to match template math step],,,,,,,,,,,,,,,,,
,Total Quantity,730.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Name,Value,Unit,,,,,,,,,,,,,,,,
,Cost per person/month,20,USD,,,,,,,,,,,,,,,,
,Assumed Productivity,4,FP/pm,,,,,,,,,,,,,,,,
,Cost per FP,5,USD,,,,,,,,,,,,,,,,
,Number of FPs,730.0,FP,,,,,,,,,,,,,,,,
,Converted to pm unit,182.5,pm,,,,,,,,,,,,,,,,
,Cost converted to USD,"3,650.0",USD,,,,,,,,,,,,,,,,
KẾT QUẢ TÍNH TOÁN ĐỘ ĐO CHỨC NĂNG CỦA PHẦN MỀM,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Stt,Danh mục độ đo,Tổng Số lượng,,,,,,,,,,,,,,,,
1,C1,112,,,,,,,,,,,,,,,,
2,C2,165,,,,,,,,,,,,,,,,
3,C3,36,,,,,,,,,,,,,,,,
4,C4,270,,,,,,,,,,,,,,,,
5,C5,63,,,,,,,,,,,,,,,,
6,Tổng chi phí hiệu chỉnh,730.0,,,,,,,,,,,,,,,,
