Quality Attribute,Attribute Refinement,ASR Scenario (Business Value; Arch Impact)
Security,Access Control (RBAC),"A user attempts to access a restricted financial dashboard; the RBAC engine verifies permissions (ADMIN, SALESAGENT, OWNER, or CUSTOMER) against a Redis-cached policy and denies access in < 50ms. (H, H)"
Security,Data Protection (At Rest),"A tenant provides a Social Security Number during KYC; the system encrypts the data using AES-256 (AWS KMS) before it touches the persistent disk. (H, M)"
Security,Threat Mitigation,"A tenant uploads a high-resolution photo for a maintenance ticket; the system scans the file for malware via ClamAV before storing it in S3. (M, H)"
Security,Identity Management,"A staff member logs in from a new device; the system requires MFA and issues an OIDC-compliant token via Keycloak. (H, M)"
Security,Secure Transmission,All API communications between microservices and external clients must use TLS 1.3 to ensure perfect forward secrecy. (H, L)
Security,Webhook Verification,"An incoming Payway webhook notification is received; the system validates the HMAC-SHA256 signature to prevent spoofing before processing the payment. (H, M)"
Performance,Transaction Latency,"A property manager searches a portfolio of 1,000+ units with complex geo-filters; Elasticsearch returns the results in < 1.2 seconds. (H, H)"
Performance,Throughput,"Under peak load, the late fee engine processes a batch of 10,000+ leases and applies penalties in under 1 hour via scheduled background jobs. (M, H)"
Performance,Real-time Responsiveness,"A unit's status is changed to ""Reserved""; the update is pushed via Redis Pub/Sub to all active admin dashboards in < 500ms. (H, M)"
Performance,Resource Optimization,"The system initiates multiple background tasks (KYC, PDF generation); the configurable ThreadPool (Core: 4, Max: 10) manages execution to prevent resource exhaustion. (M, M)"
Performance,Media Delivery,"A prospective tenant requests a high-resolution floor plan; the integrated CDN (Cloudinary) serves the optimized asset in < 1 second. (M, M)"
Reliability / Availability,Fault Tolerance,"A third-party KYC provider (e.g., Checkr) experiences a timeout; the Resilience4j circuit breaker trips and returns a ""Pending"" status to the UI in < 2s. (H, H)"
Reliability / Availability,Data Integrity (Saga),"A rent payment is successfully processed via Payway but the accounting service is down; the Saga pattern ensures a compensating transaction or eventual retry to maintain consistency. (H, H)"
Reliability / Availability,Continuity,"The primary AWS Availability Zone (AZ) fails; the Multi-AZ RDS instance fails over automatically with zero data loss and < 60s downtime. (H, H)"
Reliability / Availability,Health Monitoring,"A microservice experiences high latency; the Spring Boot Actuator endpoint reports the failure to the monitoring system for immediate alerting. (M, M)"
Reliability / Availability,Distributed Locking,"Two users attempt to reserve the same unit simultaneously; the Redlock (Redis) mechanism ensures only one transaction succeeds, preventing double-booking. (H, M)"
Interoperability,Third-party Integration,"A lease is generated; the system successfully initiates a signature workflow via DocuSign API and receives status updates via webhooks. (H, M)"
Interoperability,Legacy Synchronization,"During the migration phase, a property is updated in the macroservice; a bi-directional sync updates the legacy database to ensure data parity. (M, H)"
Interoperability,Geo-Services,"An address is entered; the system integrates with Google Maps API to return valid Geo-JSON coordinates for map rendering. (M, L)"
Auditability,Forensic Logging,"A staff member manually overrides a late fee; the system logs the user ID, old value, new value, and IP address, ensuring PII is masked in the log entry. (H, L)"
Auditability,Centralized Error Tracking,"A runtime exception occurs during payment processing; the AppExceptionHandler captures the full stack trace and logs it to a central sink for forensic analysis. (M, M)"
Compliance,Regulatory Privacy,"A tenant exercises their ""Right to be Forgotten"" (GDPR/CCPA); the system triggers a cascading deletion of all linked PII across all microservices. (H, M)"
Compliance,Financial Regulation,"A payment is processed; the system ensures no raw credit card data is stored, utilizing Payway tokenization to maintain PCI DSS compliance. (H, H)"
Compliance,Legal Adherence,"The late fee engine calculates a penalty; the system verifies the amount against a state-mandated cap table to prevent illegal fee applications. (H, M)"
